,ID,Status,Created At,Text,Polarity,Polarity Strength
4,1291088970458136576,retweet,2020-08-05 19:09:32,"#SwamiVivekananda’s sense of humour was unparalleled. He says, breaking of caste doesn’t mean that “all the people in a city should sit down together to a dinner of beef-steak and champagne” (as some modern men believed). LOL. 😀#vedanta #wednesdaymorning  https://t.co/qcsNZ9tlqh https://t.co/0MuJHHUt8f",1,0.13298611111111114
3,1291086933624487941,tweet,2020-08-05 19:01:26,ADYASHANTI VIDEO: LETTING GO OF COLLECTIVE CONSCIOUSNESS-https://t.co/ifARTOSUVE  #inspiration  #yoga  #wisdom  #mindfulness  #meditation  #inspirational #happiness  #spiritual  #Spirituality  #Advaita #DeepakChopra  #EckhartTolle  #AlanWatts #Mooji  #Vedanta  #RupertSpira https://t.co/sEwqvMH4Go,1,0.39999999999999997
2,1291085696191434752,retweet,2020-08-05 18:56:31,"@newspaperwallah SANATAN  DHARM  which gave us - Veda; Vedanta; Upanishad ; Ramayana; Mahabharata  etc.  Is in  HINDUSTAN's  SOUL &amp;  forms the CORE  OF  ITS  CULTURE  No Political system, External Culture of Force - has capacity  To Supersede this.",0,0.0
1,1291085449176289282,tweet,2020-08-05 18:55:32,"@newspaperwallah SANATAN  DHARM  which gave us - Veda; Vedanta; Upanishad ; Ramayana; Mahabharata  etc.  Is in  HINDUSTAN's  SOUL &amp;  forms the CORE  OF  ITS  CULTURE  No Political system, External Culture of Force - has capacity  To Supersede this.",0,0.0
0,1291084991867367427,retweet,2020-08-05 18:53:43,"Rama' itself means 'sarveshu ramate iti ramah',   The world feels the energy as India celebrates the return of Shri Rama to Ayodhya!  #swamichinmayananda #rammandir #lordrama #vedanta #advaita #ayodhya #historicmoments #nation #sanatanadharma #dharma #bharat https://t.co/EylbApM15M",0,0.0
5,1291084218097860608,retweet,2020-08-05 18:50:39,"Rama' itself means 'sarveshu ramate iti ramah',   The world feels the energy as India celebrates the return of Shri Rama to Ayodhya!  #swamichinmayananda #rammandir #lordrama #vedanta #advaita #ayodhya #historicmoments #nation #sanatanadharma #dharma #bharat https://t.co/EylbApM15M",0,0.0
6,1291083605104570370,retweet,2020-08-05 18:48:13,"Rama' itself means 'sarveshu ramate iti ramah',   The world feels the energy as India celebrates the return of Shri Rama to Ayodhya!  #swamichinmayananda #rammandir #lordrama #vedanta #advaita #ayodhya #historicmoments #nation #sanatanadharma #dharma #bharat https://t.co/EylbApM15M",0,0.0
7,1291081595416244224,tweet,2020-08-05 18:40:14,@ordinarperson01 Not so difficult if you follow Vedanta advocated by Vedanta society that is Ramkrishna mission.,-1,-0.5
8,1291080483980193793,retweet,2020-08-05 18:35:49,"Guys  This is an old pic of Sri Parasaran when he visited Sri Vedanta Desikar Devastanam, Mylapore for an event !   Let’s not circulate wrong info https://t.co/foL8AIWVM1",-1,-0.1875
9,1291080087945842690,retweet,2020-08-05 18:34:14,"Rama' itself means 'sarveshu ramate iti ramah',   The world feels the energy as India celebrates the return of Shri Rama to Ayodhya!  #swamichinmayananda #rammandir #lordrama #vedanta #advaita #ayodhya #historicmoments #nation #sanatanadharma #dharma #bharat https://t.co/EylbApM15M",0,0.0
10,1291079942793355265,retweet,2020-08-05 18:33:40,"Guys  This is an old pic of Sri Parasaran when he visited Sri Vedanta Desikar Devastanam, Mylapore for an event !   Let’s not circulate wrong info https://t.co/foL8AIWVM1",-1,-0.1875
11,1291076953362006018,tweet,2020-08-05 18:21:47,"@Paloctaliban88 @rhoodchitin It's not like Meister Eckhart is all that different doctrinally from Vedanta, for example",0,0.0
12,1291076917429301251,tweet,2020-08-05 18:21:38,"@AnilSinghvi_   Sir, please guide for Vedanta share.",0,0.0
13,1291075794836402176,tweet,2020-08-05 18:17:11,"You are caged by your own nature, your field of free will.  Till the time you are caged your destiny operates like it is your free will. The moment you realise you have no free will or destiny, you experience true freedom.  #Vedanta #LifeLessons #Destiny",1,0.30999999999999994
14,1291074102241845248,tweet,2020-08-05 18:10:27,"@RAAJUSS @dineshgoswamig @kachhi_basit @Riteishd You are right,Cabinet meeting held in Vedanta hospital to discuss population control bill😆 https://t.co/aXyxjLkiun",0,0.0
15,1291074018229927936,retweet,2020-08-05 18:10:07,"I knew the #Matrix referenced Advaita Vedanta philosophy - but saw this nod to the #Ramayana when i rewatched the #MatrixRevolutions recently- Rama Chandra, Kamala &amp; Sati (who i suspect @priyankachopra plays in #matrix4 ) @AdvaitaKala https://t.co/W3ia9SFjbE",0,0.0
16,1291073294565642241,tweet,2020-08-05 18:07:15,"Tree looks threatening.  Outside Vedanta Veg Delite, KK Marg, Jacob Circle, Mahalaxmi.  @MyBMC @MyBMCRoads @MyBMCWardE @ABhoriy https://t.co/2AsVykfGKM",0,0.0
17,1291071832829890562,tweet,2020-08-05 18:01:26,MOOJI VIDEO: THE SAGE'S SECRET - https://t.co/ntcojyft8I #inspiration  #yoga  #wisdom  #mindfulness  #meditation  #inspirational #happiness  #spiritual  #Spirituality  #Advaita #DeepakChopra  #EckhartTolle  #AlanWatts #Mooji  #Vedanta  #RupertSpira https://t.co/KX0IrI8W09,1,0.2
18,1291071505107828736,retweet,2020-08-05 18:00:08,"I knew the #Matrix referenced Advaita Vedanta philosophy - but saw this nod to the #Ramayana when i rewatched the #MatrixRevolutions recently- Rama Chandra, Kamala &amp; Sati (who i suspect @priyankachopra plays in #matrix4 ) @AdvaitaKala https://t.co/W3ia9SFjbE",0,0.0
19,1291069946080854022,retweet,2020-08-05 17:53:56,"Guys  This is an old pic of Sri Parasaran when he visited Sri Vedanta Desikar Devastanam, Mylapore for an event !   Let’s not circulate wrong info https://t.co/foL8AIWVM1",-1,-0.1875
20,1291069446652485632,retweet,2020-08-05 17:51:57,"Vedanta demonstrates gold standards in management processes as five modern Anganwadi Centres including three Nand Ghars of Vedanta, Kalahandi (Odisha) have set a new benchmark by achieving ISO 9001:2015 certification.   @NITIAayog  @CMO_Odisha @Naveen_Odisha @NewIndianXpress https://t.co/yvCKLdTu4V",1,0.16818181818181818
21,1291068403650670593,tweet,2020-08-05 17:47:48,"Hello Traders, Here is our Practical Vedanta and Trading video by Thiru Nagappan on ""One Important Thing to do for Consistency""  https://t.co/i5cqXgBPzL  #tradingstrategies #daytrading #tradingpsychology #consistenttrading #learntrading #Forextrading #Tradingtips #Onlinetrading",1,0.4
22,1291067899482791936,tweet,2020-08-05 17:45:48,@ganeshbhat Vedanta Trend Up 127 Expected Tomorrow but best Entry Price was 114 🤞,1,0.45
23,1291067450541379591,tweet,2020-08-05 17:44:01,Mined zinc production in India down 5 pc in Q1: Vedanta https://t.co/4FkfTkRsCV,-1,-0.1555555555555556
24,1291066657293705216,tweet,2020-08-05 17:40:52,@evenbriantweets @ConceptualJames Advaita Vedanta (Everything's one),0,0.0
25,1291063049579663360,retweet,2020-08-05 17:26:32,"Rama' itself means 'sarveshu ramate iti ramah',   The world feels the energy as India celebrates the return of Shri Rama to Ayodhya!  #swamichinmayananda #rammandir #lordrama #vedanta #advaita #ayodhya #historicmoments #nation #sanatanadharma #dharma #bharat https://t.co/EylbApM15M",0,0.0
26,1291060678455783424,retweet,2020-08-05 17:17:07,"Vedanta demonstrates gold standards in management processes as five modern Anganwadi Centres including three Nand Ghars of Vedanta, Kalahandi (Odisha) have set a new benchmark by achieving ISO 9001:2015 certification.   @NITIAayog  @CMO_Odisha @Naveen_Odisha @NewIndianXpress https://t.co/yvCKLdTu4V",1,0.16818181818181818
27,1291059836269015042,retweet,2020-08-05 17:13:46,Thinking about how most all of the Traditionalists who studied Vedanta ended up converting to Sufism.,1,0.5
